"","Name","Team","Date","Position","W","L","SV","G","GS","IP","K.per.9","BB.per.9","HR.per.9","BABIP","LOB.pct","GB.pct","HR.per.FB","ERA","FIP","xFIP","WAR"
"1","Chris Archer","Rays",2015-06-14,"SP",7,4,0,14,14,90,11.3,2.1,0.5,0.284,80,50.5,8.6,2,2.08,2.26,3.1
"2","Corey Kluber","Indians",2015-06-14,"SP",3,7,0,13,13,91.2,10.7,1.67,0.59,0.352,70.2,48.5,8.7,3.53,2.29,2.5,3
"3","Max Scherzer","Nationals",2015-06-14,"SP",6,5,0,12,12,84.1,10.35,1.39,0.64,0.279,80.2,33.6,6,2.13,2.26,3,2.9
"4","Sonny Gray","Athletics",2015-06-14,"SP",7,3,0,13,13,88,8.08,2.25,0.41,0.249,84.6,54.9,5.3,1.74,2.72,3.34,2.4
"5","David Price","Tigers",2015-06-14,"SP",6,2,0,13,13,92.1,7.99,1.95,0.58,0.291,75.6,36.6,5.8,2.44,2.89,3.62,2.4
"6","Gerrit Cole","Pirates",2015-06-14,"SP",10,2,0,13,13,84,9.96,2.04,0.43,0.316,81.9,51.9,7.1,1.71,2.36,2.68,2.4
"7","Clayton Kershaw","Dodgers",2015-06-14,"SP",5,3,0,13,13,87,11.59,2.28,0.83,0.304,72.8,52.2,16.7,3.21,2.58,2.16,2.3
"8","Chris Sale","White Sox",2015-06-14,"SP",6,2,0,11,11,74,11.31,2.07,0.73,0.297,72.9,42.1,9,3.04,2.41,2.63,2.3
"9","Dallas Keuchel","Astros",2015-06-14,"SP",7,2,0,13,13,94.2,6.85,2.28,0.38,0.235,81.8,64.2,9.8,1.9,2.89,2.95,2.3
"10","Michael Pineda","Yankees",2015-06-14,"SP",7,3,0,12,12,74.2,9.4,1.08,0.84,0.352,70.1,51.3,11.1,3.74,2.63,2.6,2.2
"11","Jacob deGrom","Mets",2015-06-14,"SP",7,4,0,13,13,85,9.53,1.8,0.74,0.273,80.1,42.4,10.1,2.33,2.73,2.79,2.2
"12","Jake Arrieta","Cubs",2015-06-14,"SP",6,4,0,12,12,77,9.7,1.75,0.82,0.32,72.9,50.5,12.7,3.16,2.79,2.61,2
"13","Carlos Carrasco","Indians",2015-06-14,"SP",8,5,0,13,13,74,10.34,2.19,0.73,0.342,67.8,47.2,9.2,4.38,2.67,2.85,2
"14","Johnny Cueto","Reds",2015-06-14,"SP",4,4,0,12,12,85.1,8.65,1.48,0.95,0.254,77,40.7,10.7,2.85,3.15,3.16,1.9
"15","Clay Buchholz","Red Sox",2015-06-14,"SP",3,6,0,13,13,79,9.23,2.39,0.57,0.344,67,49.3,7.5,4.22,2.79,3.15,1.9
"16","Zack Greinke","Dodgers",2015-06-14,"SP",5,2,0,13,13,87.2,7.7,1.75,0.72,0.254,86.8,47.7,8.8,1.95,3.08,3.32,1.8
"17","Jordan Zimmermann","Nationals",2015-06-14,"SP",5,4,0,13,13,77,6.08,2.1,0.35,0.337,68.4,39.2,3.4,3.74,3.04,4.15,1.8
"18","A.J. Burnett","Pirates",2015-06-14,"SP",6,2,0,12,12,76.2,8.22,2.7,0.35,0.31,82.2,55.5,5.9,2.11,2.76,3.19,1.8
"19","Jake Odorizzi","Rays",2015-06-14,"SP",4,5,0,12,12,76.2,7.4,1.76,0.59,0.26,79.5,40.7,6,2.47,2.97,3.66,1.8
"20","Lance Lynn","Cardinals",2015-06-14,"SP",4,4,0,12,12,73.1,9.45,2.82,0.61,0.328,77.5,40.4,6.8,3.07,2.87,3.4,1.7
"21","Trevor May","Twins",2015-06-14,"SP",4,4,0,11,11,62.2,7.9,1.72,0.57,0.335,69,40.5,5.5,4.16,2.8,3.6,1.7
"22","Jesse Chavez","Athletics",2015-06-14,"SP",2,6,0,10,10,65,6.92,2.35,0.42,0.293,72.4,41.6,4.4,2.91,2.95,3.82,1.7
"23","Jason Hammel","Cubs",2015-06-14,"SP",5,2,0,12,12,80,9,1.35,1.01,0.263,74.6,38.5,11.1,2.81,3.16,3.12,1.6
"24","Jose Quintana","White Sox",2015-06-14,"SP",3,6,0,12,12,74.1,7.51,2.78,0.48,0.332,70.4,46.7,5.6,4,3.22,3.86,1.5
"25","Chase Anderson","Diamondbacks",2015-06-14,"SP",2,1,0,12,12,73.1,6.01,1.96,0.37,0.288,77.8,45.5,4.3,2.82,3.2,4,1.5
"26","Colby Lewis","Rangers",2015-06-14,"SP",6,3,0,13,13,80.1,6.83,1.9,0.78,0.295,65.4,35.2,5.9,4.37,3.5,4.44,1.5
"27","Tyson Ross","Padres",2015-06-14,"SP",3,6,0,13,13,75.2,9.87,4.4,0.36,0.367,74,62.3,8.1,3.81,3.01,3.18,1.5
"28","Shelby Miller","Braves",2015-06-14,"SP",5,2,0,13,13,84.2,6.48,2.87,0.43,0.23,82.9,49.4,5.1,2.02,3.34,4.02,1.5
"29","Francisco Liriano","Pirates",2015-06-14,"SP",3,5,0,12,12,74.2,10.49,3.13,0.84,0.242,73.3,53.6,15.2,3.25,3.12,2.76,1.4
"30","Madison Bumgarner","Giants",2015-06-14,"SP",7,3,0,13,13,85.1,8.33,1.69,1.05,0.288,81.2,41.2,11.1,3.16,3.48,3.43,1.4
"31","Gio Gonzalez","Nationals",2015-06-14,"SP",4,3,0,12,12,71.1,8.45,3.53,0.38,0.359,69.4,56.1,7.3,4.42,3.07,3.33,1.4
"32","Aaron Harang","Phillies",2015-06-14,"SP",4,7,0,13,13,83,6.4,2.39,0.87,0.249,73.4,34,7,3.04,3.8,4.49,1.3
"33","Michael Wacha","Cardinals",2015-06-14,"SP",8,2,0,12,12,77,6.66,2.1,0.7,0.252,81.2,45.9,8.1,2.45,3.45,3.79,1.3
"34","John Lackey","Cardinals",2015-06-14,"SP",4,4,0,12,12,74.2,6.87,2.17,0.72,0.303,72.5,43.5,7.2,3.74,3.42,3.94,1.3
"35","Cole Hamels","Phillies",2015-06-14,"SP",5,5,0,13,13,87.1,9.38,3.09,1.13,0.262,81.1,46.6,14.5,3.19,3.79,3.37,1.3
"36","Alex Wood","Braves",2015-06-14,"SP",4,4,0,12,12,73.1,6.5,2.82,0.49,0.341,75,46.7,5.6,3.56,3.35,4,1.3
"37","Ubaldo Jimenez","Orioles",2015-06-14,"SP",4,3,0,12,12,67.2,8.78,3.19,0.8,0.305,78.4,48.4,12,3.19,3.5,3.38,1.3
"38","Chris Heston","Giants",2015-06-14,"SP",6,4,0,12,12,74,8.03,2.19,0.73,0.299,69.7,56.2,12,3.77,3.3,3.2,1.2
"39","J.A. Happ","Mariners",2015-06-14,"SP",3,2,0,12,12,67.2,6.92,2.13,0.8,0.318,76,39.5,8,3.72,3.47,3.87,1.2
"40","Jeff Samardzija","White Sox",2015-06-14,"SP",4,4,0,13,13,87.1,7.21,1.65,1.13,0.324,66,37.4,10.6,4.84,3.82,3.86,1.2
"41","C.J. Wilson","Angels",2015-06-14,"SP",4,5,0,13,13,85,7.62,2.86,0.85,0.26,72.4,44,9.5,3.6,3.76,3.92,1.2
"42","Danny Salazar","Indians",2015-06-14,"SP",6,2,0,11,11,68.2,11.4,2.36,1.31,0.313,78.3,45.3,16.7,3.54,3.42,2.75,1.2
"43","Matt Harvey","Mets",2015-06-14,"SP",6,4,0,12,12,79.2,9.26,1.58,1.36,0.277,78,41.5,15.4,3.62,3.64,3.06,1.2
"44","Yovani Gallardo","Rangers",2015-06-14,"SP",5,6,0,13,13,75.2,7.02,2.62,0.83,0.276,69.7,54.2,10.4,3.45,3.62,3.66,1.2
"45","Kyle Hendricks","Cubs",2015-06-14,"SP",2,2,0,12,12,68.2,7.73,1.7,0.92,0.299,72.4,50.2,10.8,3.8,3.45,3.45,1.2
"46","Jesse Hahn","Athletics",2015-06-14,"SP",3,5,0,12,12,70.1,5.76,2.05,0.38,0.285,61.1,52,6,3.84,3.36,3.8,1.2
"47","Edinson Volquez","Royals",2015-06-14,"SP",5,4,0,12,12,73.1,7.36,3.31,0.49,0.252,71.3,47.2,5.8,3.07,3.4,4.01,1.1
"48","Mike Fiers","Brewers",2015-06-14,"SP",3,6,0,13,13,69,10.43,3.26,1.17,0.365,75.2,36.9,11.5,4.04,3.7,3.59,1.1
"49","Alfredo Simon","Tigers",2015-06-14,"SP",6,3,0,11,11,71.2,6.4,2.89,0.63,0.265,74.7,41.1,6.6,2.76,3.59,4.17,1.1
"50","Trevor Bauer","Indians",2015-06-14,"SP",5,3,0,12,12,74,9.12,4.14,0.85,0.266,76.9,36.1,7.9,3.53,3.72,4.18,1.1
"51","Dellin Betances","Yankees",2015-06-14,"RP",4,0,2,29,0,32.1,15.03,3.9,0,0.204,84,48.1,0,0.28,1.06,1.8,1.6
"52","Drew Storen","Nationals",2015-06-14,"RP",1,0,19,25,0,24.1,11.84,1.11,0,0.291,85.7,36.4,0,1.11,1.09,2.36,1.2
"53","A.J. Ramos","Marlins",2015-06-14,"RP",0,1,8,30,0,30.2,11.74,2.35,0.29,0.231,84.8,42.4,3.6,1.47,1.8,2.65,1.1
"54","Zach Britton","Orioles",2015-06-14,"RP",0,0,17,25,0,25.2,11.57,1.4,0.35,0.317,84.8,69.8,14.3,1.75,1.5,1.38,1
"55","Trevor Rosenthal","Cardinals",2015-06-14,"RP",1,0,21,29,0,30.1,9.79,2.97,0.3,0.247,97.8,44.6,3.3,0.59,2.34,3.3,0.9
"56","Aroldis Chapman","Reds",2015-06-14,"RP",3,3,13,29,0,28.1,14.93,5.72,0.32,0.333,85.5,31,3.6,2.22,2.36,3.29,0.9
"57","Joe Smith","Angels",2015-06-14,"RP",2,2,0,27,0,25.2,9.47,2.1,0,0.294,66.7,53,0,3.16,1.82,2.64,0.9
"58","Andrew Miller","Yankees",2015-06-14,"RP",0,1,17,26,0,26.1,14.7,3.42,0.34,0.156,92.2,52.2,6.7,1.03,1.92,2.23,0.9
"59","David Robertson","White Sox",2015-06-14,"RP",4,1,13,25,0,26.2,12.83,1.01,1.01,0.259,84.3,36.1,13.6,2.03,2.16,1.86,0.8
"60","Wade Davis","Royals",2015-06-14,"RP",3,1,7,27,0,27,10,3,0,0.197,95.2,45,0,0.33,1.88,2.87,0.8
"61","Sergio Romo","Giants",2015-06-14,"RP",0,3,0,29,0,20,14.4,2.7,0.45,0.4,61,45.7,8.3,4.5,1.6,1.79,0.7
"62","Cody Allen","Indians",2015-06-14,"RP",0,2,14,27,0,26.2,13.16,5.06,0.34,0.377,67.4,35,3.4,4.39,2.46,3.5,0.7
"63","Roberto Osuna","Blue Jays",2015-06-14,"RP",1,2,0,26,0,28.2,9.42,2.83,0.31,0.236,74.2,30.1,2.9,2.2,2.4,3.66,0.7
"64","Shawn Tolleson","Rangers",2015-06-14,"RP",1,0,8,27,0,28.1,10.16,1.27,0.95,0.292,84.7,43.2,12.5,2.54,2.75,2.56,0.7
"65","Glen Perkins","Twins",2015-06-14,"RP",0,1,21,28,0,27,8,1.33,0.67,0.269,90.9,36.7,5.7,1.67,2.73,3.59,0.7
"66","Arquimedes Caminero","Pirates",2015-06-14,"RP",0,1,0,28,0,28.1,10.48,3.49,0.32,0.242,65.2,41.8,3.8,3.18,2.5,3.33,0.6
"67","Kevin Siegrist","Cardinals",2015-06-14,"RP",3,0,1,31,0,27.2,12.36,3.25,0.65,0.302,92.5,20.6,6.1,1.63,2.49,3.22,0.5
"68","Aaron Barrett","Nationals",2015-06-14,"RP",3,2,0,30,0,21.1,11.81,2.53,0.42,0.358,60.2,41.5,5.9,5.06,2.21,2.72,0.5
"69","Jason Grilli","Braves",2015-06-14,"RP",2,2,16,23,0,22.1,11.69,3.22,0.81,0.315,74.4,25,8,3.22,2.74,3.15,0.5
"70","Jeurys Familia","Mets",2015-06-14,"RP",2,0,18,28,0,29.2,9.71,2.73,0.61,0.217,94.8,60,14.3,1.21,2.73,2.52,0.5
"71","Will Smith","Brewers",2015-06-14,"RP",2,0,0,27,0,21.2,12.46,3.74,0,0.271,69.6,40.4,0,1.66,1.72,3.01,0.5
"72","Juan Nicasio","Dodgers",2015-06-14,"RP",1,2,1,19,0,23,10.96,4.7,0,0.31,83.3,41.4,0,1.96,2.23,3.45,0.5
"73","Francisco Rodriguez","Brewers",2015-06-14,"RP",0,2,13,23,0,23,9.39,2.74,0.39,0.212,90.9,47.2,6.7,1.17,2.49,2.84,0.5
"74","Jonathan Papelbon","Phillies",2015-06-14,"RP",1,0,12,24,0,24,10.88,2.25,0.38,0.259,89,51.8,6.3,1.13,2.35,2.75,0.5
"75","Liam Hendriks","Blue Jays",2015-06-14,"RP",2,0,0,22,0,29.1,9.51,1.53,0.61,0.276,64.9,51.3,10,3.07,2.49,2.56,0.5
"76","Seth Maness","Cardinals",2015-06-14,"RP",1,0,3,30,0,23,6.26,0.39,0.39,0.377,75.2,54.7,5.6,3.52,2.54,3.07,0.5
"77","Brad Brach","Orioles",2015-06-14,"RP",3,2,1,22,0,30,11.7,3.3,0.9,0.284,69.4,40.6,10.3,3.9,2.9,2.96,0.5
"78","Tony Watson","Pirates",2015-06-14,"RP",1,1,1,32,0,33.1,7.83,1.89,0.54,0.25,82.2,48.3,7.4,1.89,2.86,3.22,0.5
"79","Brandon Maurer","Padres",2015-06-14,"RP",4,0,0,30,0,32,6.75,2.25,0.28,0.182,81.3,45.5,3.3,1.69,2.85,3.76,0.5
"80","Huston Street","Angels",2015-06-14,"RP",2,2,19,26,0,26,9.35,2.42,0.69,0.239,81.1,24.6,6.1,2.42,2.83,3.61,0.5
"81","Andrew Chafin","Diamondbacks",2015-06-14,"RP",4,0,0,25,0,32.1,6.4,2.51,0.28,0.27,70.2,60.4,5,3.34,2.92,3.38,0.5
"82","Zach McAllister","Indians",2015-06-14,"RP",1,1,0,23,0,30.1,10.09,2.67,0.59,0.317,81.9,46.4,7.4,2.67,2.61,3,0.5
"83","Hector Rondon","Cubs",2015-06-14,"RP",3,1,11,27,0,26.1,8.2,2.39,0.68,0.312,79.5,49.4,9.5,2.73,3.06,3.2,0.5
"84","Carson Smith","Mariners",2015-06-14,"RP",1,2,2,27,0,26,10.04,1.73,0.69,0.2,93.8,57.4,14.3,1.38,2.79,2.55,0.5
"85","Michael Blazek","Brewers",2015-06-14,"RP",4,1,0,26,0,33.1,7.83,2.97,0,0.182,78.6,58,0,1.08,2.44,3.54,0.5
"86","Koji Uehara","Red Sox",2015-06-14,"RP",2,3,13,23,0,20,9.9,2.7,0.9,0.235,64,34,7.7,2.25,3.1,3.62,0.4
"87","Matt Belisle","Cardinals",2015-06-14,"RP",1,1,0,25,0,26.1,7.86,3.76,0,0.329,83.8,51.3,0,2.05,2.61,3.73,0.4
"88","Fernando Salas","Angels",2015-06-14,"RP",0,1,0,28,0,25,9.36,1.44,0.72,0.301,64.9,36.1,6.9,4.32,2.66,3.25,0.4
"89","Keone Kela","Rangers",2015-06-14,"RP",4,3,0,29,0,26.1,7.86,2.39,0.68,0.313,83.3,48.8,7.4,2.39,3.14,3.59,0.4
"90","Christian Friedrich","Rockies",2015-06-14,"RP",0,1,0,27,0,26,7.62,2.08,0.35,0.357,64.6,44,3.8,4.5,2.6,3.5,0.4
"91","Craig Kimbrel","Padres",2015-06-14,"RP",1,1,16,26,0,24,13.13,3.38,1.13,0.358,74.6,41.1,16.7,3.75,2.94,2.36,0.4
"92","Tommy Hunter","Orioles",2015-06-14,"RP",2,1,0,25,0,27.1,6.59,0.99,0.66,0.298,67.4,48.8,7.1,3.62,3.03,3.51,0.4
"93","Blaine Hardy","Tigers",2015-06-14,"RP",2,1,0,25,0,24.1,6.66,3.33,0,0.293,64.5,28.8,0,3.33,2.73,4.75,0.4
"94","Alex Wilson","Tigers",2015-06-14,"RP",1,2,0,17,0,27,5.33,1,0.33,0.218,77.7,48.1,3.4,2,2.84,3.87,0.4
"95","Junichi Tazawa","Red Sox",2015-06-14,"RP",0,2,0,30,0,27,8.67,1.67,1,0.254,78,43.8,10.7,2.67,3.18,3.19,0.4
"96","Jared Hughes","Pirates",2015-06-14,"RP",1,1,0,31,0,26.2,7.76,2.03,0.34,0.378,75.8,60.5,5.3,3.38,2.88,3.39,0.4
"97","Pedro Strop","Cubs",2015-06-14,"RP",1,3,2,32,0,29,9.62,3.1,0.62,0.185,62,54.5,10,3.1,3.21,3.28,0.4
"98","Rafael Betancourt","Rockies",2015-06-14,"RP",2,2,1,23,0,20,9,1.35,0.9,0.317,42.5,24.6,6.7,6.3,2.85,3.66,0.4
"99","Darren O'Day","Orioles",2015-06-14,"RP",2,0,2,26,0,25,11.16,1.8,1.08,0.19,95.2,41.7,11.5,1.08,3.02,2.92,0.4
"100","Ken Giles","Phillies",2015-06-14,"RP",2,1,0,27,0,26,9.69,4.5,0.35,0.301,69.4,43.2,3.2,2.08,2.95,4.12,0.4
